"","coef"
"v2",0.000431192462735264
"v4",0.000242521901786434
"v6",0.00500583532970051
"v7",0.00134034003584982
"v9",0.0054428665843167
"v12",-0.0137420027313098
"v14",0.0330185353489892
"v15",-0.0160433679092347
"v17",-0.00166717200805729
"v18",0.00924187314769467
"v20",-0.011824606732497
"v21",0.00635216566018608
"v23",0.00100226061324656
"v24.C",0.134159048701901
"v24.D",-0.069440868597629
"v24.E",0.158921964912854
"v3.0B",-0.00105538044157498
"v3.0C",0.0834981015880088
"v3.1A",-0.286858680668035
"v3.4",-0.0109043211312415
"v3.6",4.21441021323868e-05
"v3.80",-0.308949089844228
"v3.9",-0.000555077752428549
"v40",0.00106665521401507
"v42",2.53755925278209e-05
"v44",-0.00163683047028867
"v45",-0.00109687927953556
"v46",-0.00587786128615309
"v47.C",0.487948125907462
"v50",0.649104793652333
"v56.BV",-0.0476559102449437
"v56.BW",-0.125426283313786
"v56.BZ",0.0474008365571947
"v56.CY",0.330997386302386
"v56.DI",-0.00944050090709001
"v56.DO",-0.0458157419167471
"v56.DS",0.0525199280848033
"v56.P",-0.21175601701114
"v59",0.00323195561047223
"v62.2",-0.000743377218239071
"v64",-0.00303899204136011
"v66.B",-0.301594894943218
"v66.C",0.790295369828085
"v70",0.00967221340161998
"v72.2",-0.0134495084333266
"v75.D",0.00510875677545087
"v78",-0.00131842259281741
"v79.C",0.061782992909353
"v79.O",0.018807649533842
"v79.P",-0.0776957147465754
"v80",7.28576337551711e-05
"v85",-0.00878567271050192
"v89",0.00763846128402576
"v91.G",-0.00422986829724013
"v93",0.00193679441415276
"v94",0.00210219421150029
"v98",0.00990140714187068
"v99",0.010189156760803
"v101",0.00458792763383132
"v103",0.00262099922332583
"v109",0.00828582392355242
"v110.B",0.0737783704752334
"v111",0.00863449156379027
"v112.F",-0.0708282947243051
"v113.AC",-0.00649731605091402
"v113.G",0.0227702468351208
"v115",-4.00305390690704e-05
"v117",-0.00875447364019666
"v119",-0.0054584389558392
"v127",-0.00115722091968928
"v129.0",-0.213114032519515
"v131",0.00437161378404415
