"","k","log_loss"
"1",10,0.933129538280419
"2",30,0.544969744963958
"3",50,0.53959367740261
"4",70,0.540189228719337
"5",90,0.538859216877011
"6",110,0.538112562167979
"7",130,0.537982381557715
"8",150,0.5381023051805
"9",170,0.537891414599978
"10",190,0.538285584972506
"11",210,0.538319766974
"12",230,0.538443749515623
"13",250,0.538636961372029
"14",270,0.538699374127867
"15",290,0.538601496622178
"16",310,0.538807290651469
"17",330,0.538880758855913
"18",350,0.538862159437547
"19",370,0.538752911563483
"20",390,0.538828429582295
"21",410,0.538766668368137
"22",430,0.539010997820911
"23",450,0.539055007597827
"24",470,0.539034594060213
"25",490,0.539108829565687
